Min_Salary,Max_Salary,Experience,Min_Salary_Outlier,Max_Salary_Outlier,Programming_Languages_go,Programming_Languages_golang,Programming_Languages_java,Programming_Languages_javascript,Programming_Languages_julia,Programming_Languages_matlab,Programming_Languages_python,Programming_Languages_r,Programming_Languages_scala,Programming_Languages_sql,Visualization_Tools_altair,Visualization_Tools_d3.js,Visualization_Tools_ggplot2,Visualization_Tools_matplotlib,Visualization_Tools_plotly,Visualization_Tools_power bi,Visualization_Tools_qlik sense,Visualization_Tools_qlikview,Visualization_Tools_seaborn,Visualization_Tools_tableau,Databases_and_Big_Data_Tools_cassandra,Databases_and_Big_Data_Tools_elasticsearch,Databases_and_Big_Data_Tools_hadoop,Databases_and_Big_Data_Tools_hive,Databases_and_Big_Data_Tools_mongodb,Databases_and_Big_Data_Tools_mysql,Databases_and_Big_Data_Tools_postgresql,Databases_and_Big_Data_Tools_redis,Databases_and_Big_Data_Tools_spark,Databases_and_Big_Data_Tools_sqlite,ML_and_Data_Science_Libraries_keras,ML_and_Data_Science_Libraries_lightgbm,ML_and_Data_Science_Libraries_nltk,ML_and_Data_Science_Libraries_numpy,ML_and_Data_Science_Libraries_pandas,ML_and_Data_Science_Libraries_pytorch,ML_and_Data_Science_Libraries_scikit-learn,ML_and_Data_Science_Libraries_scipy,ML_and_Data_Science_Libraries_spacy,ML_and_Data_Science_Libraries_tensorflow,ML_and_Data_Science_Libraries_xgboost,Cloud_Services_aws,Cloud_Services_docker,Cloud_Services_firebase,Cloud_Services_google cloud platform,Cloud_Services_ibm cloud,Cloud_Services_kubernetes,Cloud_Services_microsoft azure,Cloud_Services_oracle cloud,Education_bachelor,Education_master,Education_phd,State_AK,State_AL,State_AR,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY,job_position_Data Analyst,job_position_Data Architect,job_position_Data Engineer,job_position_Data Scientist,job_position_Data Visualization,job_position_Machine Learning Engineer,job_position_Other,level_Entry-level,level_Executive-level,level_Senior-level,level_Unspecified,Work_Mode_hybrid,Work_Mode_on-site,Work_Mode_remote
146975.0,197450.0,0.30751645782597464,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
146975.0,197450.0,-0.5766201829577066,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
132728.0,234000.0,0.30751645782597464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
146975.0,197450.0,-0.5766201829577066,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
104000.0,150000.0,0.30751645782597464,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
146975.0,197450.0,-0.5766201829577066,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
182680.0,349150.0,0.7495847782178152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
84000.0,128800.0,0.30751645782597464,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
146975.0,197450.0,0.30751645782597464,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
132728.0,234000.0,0.30751645782597464,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
